Country / Territory / Island,Country code,"Firm Energy (e.g., Hydro, Geothermal)",VRE_Energy,Energy Efficiency,Electricity Consumption,Build_Margin,Emissions_Intensity,,
Afghanistan,AFG,193,331,193,193,414,351.8367407,,
Albania,ALB,0,0,0,0,0,0,,
Algeria,DZA,397,479,397,397,528,491.551649,,
American Samoa (U.S.),ASM,516,664,516,516,753,685.9666482,,
Andorra,AND,70,144,70,70,188,154.8166035,,
Angola,AGO,748,1203,748,748,1476,1270.965691,,
Anguilla (U.K.),AIA,472,647,472,472,753,673.5041135,,
Antigua and Barbuda,ATG,489,654,489,489,753,678.5167529,,
Argentina,ARG,288,407,288,288,478,424.7082248,,
Armenia,ARM,205,321,205,205,390,337.954912,,
Aruba,ABW,421,628,421,421,753,659.3184935,,
Australia,AUS,421,663,421,421,808,698.8875432,,
Austria,AUT,113,194,113,113,242,205.6910609,,
Azerbaijan,AZE,384,478,384,384,534,491.724509,,
Azores (Portugal),PRT,384,614,384,384,753,648.9174228,,
Bahamas,BHS,441,636,441,441,753,664.8706817,,
Bahrain,BHR,454,624,454,454,726,649.8292851,,
Bangladesh,BGD,412,484,412,412,528,495.2389093,,
Barbados,BRB,484,650,484,484,749,674.6647806,,
Belarus,BLR,292,359,292,292,400,369.1860826,,
Belgium,BEL,124,204,124,124,252,215.7934072,,
Belize,BLZ,183,320,183,183,403,341.1269188,,
Benin,BEN,576,682,576,576,745,697.654632,,
Bermuda (U.K.),BMU,342,598,342,342,753,636.9327037,,
Bhutan,BTN,0,0,0,0,0,0,,
Bolivia,BOL,393,525,393,393,604,544.4601915,,
Bonaire (Netherland),BES,400,620,400,400,753,653.4398225,,
Bosnia and Herzegovina,BIH,739,1025,739,739,1197,1068.343718,,
Botswana,BWA,1070,1330,1070,1070,1486,1369.119609,,
Brazil,BRA,150,234,150,150,284,246.149818,,
British Virgin Islands (U.K.),VGB,420,628,420,420,753,659.0628133,,
Brunei Darussalam,BRN,407,578,407,407,681,604.0963426,,
Bulgaria,BGR,495,755,495,495,911,794.4235964,,
Burkina Faso,BFA,539,672,539,539,753,692.5044364,,
Burundi,BDI,197,333,197,197,414,352.8989888,,
Cambodia,KHM,588,874,588,588,1046,917.3596497,,
Cameroon,CMR,354,545,354,354,659,573.6428982,,
Canada,CAN,213,312,213,213,372,327.0393498,,
Canary Islands (Spain),ESP,435,633,435,435,753,663.1748098,,
Cape Verde,CPV,505,660,505,505,753,682.9203098,,
Cayman Islands,CYM,373,610,373,373,753,645.6971835,,
Central African Republic,CAF,77,146,77,77,188,156.7486282,,
Chad,TCD,581,688,581,581,753,704.2499115,,
Channel Islands (U.K),GBR,389,616,389,389,753,650.1892637,,
Chile,CHL,235,499,235,235,657,538.0934785,,
China (PRC and Hong Kong),CHN,485,744,485,485,899,782.6109777,,
Colombia,COL,208,334,208,208,410,353.0753882,,
Comoros,COM,589,691,589,589,753,706.5711135,,
"Congo, Democratic Republic of",COD,0,0,0,0,0,0.104961093,,
Congo,COG,405,564,405,405,659,587.892108,,
Cook Islands,COK,422,628,422,422,753,659.4934183,,
Costa Rica,CRI,39,82,39,39,108,88.40067901,,
Côte d'Ivoire,CIV,314,409,314,314,466,423.5047879,,
Croatia,HRV,168,247,168,168,294,258.753479,,
Cuba,CUB,391,496,391,391,559,511.7588819,,
Curacao/Netherlands Antilles,CUW,506,737,506,506,876,772.2032682,,
Cyprus,CYP,438,633,438,438,751,662.6746897,,
Czech Republic,CZE,461,736,461,461,902,777.7353161,,
Denmark,DNK,155,284,155,155,362,303.5874479,,
Djibouti,DJI,575,686,575,575,753,702.7345533,,
Dominica,DMA,433,633,433,433,753,662.6298013,,
Dominican Republic,DOM,426,536,426,426,601,552.017142,,
Ecuador,ECU,280,455,280,280,560,481.4542908,,
Egypt,EGY,406,498,406,406,554,512.2305144,,
El Salvador,SLV,275,445,275,275,547,470.8115382,,
Equatorial Guinea,GNQ,361,531,361,361,632,556.1328368,,
Eritrea,ERI,704,836,704,704,915,855.764647,,
Estonia,EST,625,895,625,625,1057,935.4981985,,
Eswatini,SWZ,0,0,0,0,0,0,,
Ethiopia,ETH,0,0,0,0,0,0.039761583,,
Falkland Islands (U.K.),FLK,316,589,316,316,753,629.635674,,
Faroe Islands (Denmark),FRO,320,590,320,320,753,630.9988354,,
Fiji,FJI,334,525,334,334,640,553.8141945,,
Finland,FIN,114,209,114,114,267,223.7396378,,
France,FRA,68,124,68,68,158,132.68161,,
French Guiana (France),GUF,200,340,200,200,423,360.4882229,,
French Polynesia (France),PYF,412,625,412,412,753,656.889655,,
Gabon,GAB,533,791,533,533,946,829.6916041,,
Gambia,GMB,591,692,591,591,753,707.0946664,,
Georgia,GEO,135,231,135,135,289,245.728662,,
Germany,DEU,313,523,313,313,650,554.9634058,,
Ghana,GHA,276,413,276,276,495,433.2304115,,
Gibraltar (U.K.),GIB,369,625,369,369,779,663.5967346,,
Greece,GRC,346,447,346,346,507,461.7643206,,
Greenland,GRL,105,204,105,105,264,219.2384211,,
Grenada,GRD,523,666,523,523,753,687.8919449,,
Guadeloupe (France),GLP,433,633,433,433,753,662.6190669,,
Guam,GUM,428,631,428,428,753,661.2070098,,
Guatemala,GTM,427,659,427,427,798,693.5552349,,
Guinea,GIN,460,643,460,460,753,670.1327574,,
Guinea-Bissau,GNB,577,687,577,577,753,703.2281915,,
Guyana,GUY,616,760,616,616,847,781.6481184,,
Haiti,HTI,765,942,765,765,1048,968.0705118,,
Honduras,HND,359,548,359,359,662,576.4569973,,
Hungary,HUN,191,257,191,191,296,266.4007045,,
Iceland,ISL,0,0,0,0,0,0.009088386,,
India,IND,608,822,608,608,951,854.3902733,,
Indonesia,IDN,675,743,675,675,783,752.8207466,,
Iran,IRN,421,528,421,421,592,543.9528251,,
Iraq,IRQ,788,971,788,788,1080,998.1169651,,
Ireland,IRL,189,309,189,189,380,326.5877592,,
Isle of Man (U.K.),IMN,204,349,204,204,436,371.0141888,,
